SatName,Plane_ID,Sequence_Order,Inclination,RAAN,Arg_Lat,Mean_Motion
STARLINK-11528 [DTC],84,9,42.99532545070509,137.88920805348886,50.770042362749415,15.08840711
STARLINK-33975,84,10,42.992233602672485,137.5250258089166,53.79208179881239,15.08842452
STARLINK-30967,84,11,42.99094913538102,137.85466018871048,60.53290495004612,15.08847715
STARLINK-30964,84,12,42.98664800504197,137.8176405601523,74.69622790099957,15.08838447
STARLINK-11510 [DTC],84,13,42.97983161192304,137.79995551220483,80.9259076653181,15.08838085
STARLINK-30902,84,14,42.98467290185477,137.78879439246816,81.80300012015832,15.08834231
STARLINK-30895,84,15,42.98410098313407,137.7472189744414,96.03183658537529,15.0882696
STARLINK-30908,84,16,42.9895328400758,137.62770582798854,103.15629323729674,15.088328790000002
STARLINK-30954,84,17,42.98991660353206,137.69975361788227,110.16456206210034,15.08832545
STARLINK-11440 [DTC],84,18,42.98889022226073,137.6971089417188,111.11697274876899,15.088380949999998
STARLINK-30900,84,19,42.99507485199454,137.62539844043616,117.11069204521507,15.088358179999998
STARLINK-33881,84,20,42.993084312624525,138.18605709779732,123.84999925781848,15.088561560000002
STARLINK-33947,84,21,42.998558683949874,138.16388138132217,130.94295502233732,15.088378810000002
STARLINK-11507 [DTC],84,22,43.00298156670578,137.60815879088483,141.23870901019976,15.088508920000002
STARLINK-30872,84,23,43.01083164534031,137.57001315954653,145.5932210714762,15.08839625
STARLINK-33935,84,24,43.012605385393314,138.11693347577702,152.18551404430718,15.088361
STARLINK-33930,84,25,43.0140042702756,138.1045602653645,159.25002747525215,15.088386159999999
STARLINK-11450 [DTC],84,26,43.01982100271737,137.55586001403927,171.17807854960935,15.088306590000002
STARLINK-33916,84,27,43.01641201480454,138.07772641027537,173.40910035058346,15.088488
STARLINK-33846,84,28,43.02003841750852,138.07212623295035,180.50916913959162,15.08835521
STARLINK-32088,84,29,43.02117780102311,137.64146507921336,187.9252901870176,15.08840942
STARLINK-30899,84,30,43.020229991312405,137.5341760137048,195.06455649640955,15.08837659
STARLINK-11452 [DTC],84,31,43.017780330909986,137.51583671407084,201.35479935370168,15.088416230000002
STARLINK-33883,84,32,43.01786285906279,138.03990454667186,201.68457272677978,15.0884012
STARLINK-33918,84,33,43.011552192354394,138.02775936330585,208.76148733854384,15.088553949999998
STARLINK-33867,84,34,43.00697947138582,138.0104078442849,215.70198507267702,15.088474169999998
STARLINK-32106,84,35,42.99728503229653,137.55883513545493,230.32327912453556,15.088435489999998
STARLINK-33923,84,36,42.98278152595194,137.91824091772503,251.0489210887282,15.08846314
STARLINK-33938,84,37,42.97937250170557,137.89524767631136,258.0647619735499,15.088444660000002
STARLINK-33827,84,38,42.98012901986872,137.84190070470962,272.4061785236394,15.088393039999998
STARLINK-33842,84,39,42.978353473474975,137.82078838765455,279.51958209201285,15.0884358
STARLINK-33892,84,40,42.983628139020325,137.80151188786806,286.3394758899817,15.08839031
STARLINK-33882,84,41,42.9839643296982,137.76860996883923,293.57653455931404,15.08841618
STARLINK-30844,84,42,42.990055473135996,138.10807887646376,300.3053836112988,15.08833287
STARLINK-33899,84,43,42.999743106036924,137.7129880573886,314.79409983107524,15.08850946
STARLINK-30876,84,44,43.003813467128694,138.05361280518704,321.5255730140415,15.088385909999998
STARLINK-33900,84,45,43.0122023490601,137.66661936978542,335.99886743651905,15.08827423
STARLINK-30922,84,46,43.01419443726594,137.99769591672992,342.70657446558704,15.088345639999998
STARLINK-33932,84,47,43.01896303944336,137.6483397054897,350.1340122301792,15.08835464
STARLINK-33875,84,48,43.01914280368077,137.6334940862046,357.16937076644103,15.08836378
STARLINK-35680,85,1,42.99347771929794,141.49267264352255,56.15978254867682,15.08822137
STARLINK-35447,85,2,42.98766834224568,141.48537066523457,63.07662419041718,15.08848478
STARLINK-31412,85,3,42.98815875864083,141.443399014852,70.18679921055637,15.088433139999998
STARLINK-35930,85,4,42.984607868235805,141.43764226676169,77.25262423237217,15.088379079999998
STARLINK-35978,85,5,42.98045381728961,141.4134282947919,84.29979471856832,15.08822659
STARLINK-31398,85,6,42.98248383359804,141.36990629527224,91.43187442097317,15.08835961
STARLINK-35583,85,7,42.98343819922408,141.35781134276155,98.523072008165,15.08829567
STARLINK-35988,85,8,42.98489259178113,141.34073093829565,105.42722549752393,15.088392959999998
STARLINK-31507,85,9,42.9888240304373,141.299198982581,112.7045847385698,15.08841399
STARLINK-35711,85,10,42.989241133282775,141.294047492221,119.78701278065999,15.08843733
STARLINK-31399,85,11,42.996067703305016,141.25549285911094,126.85649906092719,15.088397400000002
STARLINK-36063,85,12,42.999162137769325,141.25529088436633,133.963382277996,15.088392749999999
STARLINK-36031,85,13,43.00737116750074,141.2454435995946,141.02432776759056,15.08833479
STARLINK-31545,85,14,43.0098431589496,141.21291327329456,148.10844755960085,15.0884188
STARLINK-36036,85,15,43.01197685210057,141.20717320964107,155.19112932358766,15.08839258
STARLINK-36048,85,16,43.017723439258226,141.20041392844777,162.2786797029203,15.08841785
STARLINK-31391,85,17,43.020458311089726,141.17693677545836,169.30424473363385,15.0883891
STARLINK-36076,85,18,43.021780742184724,141.1866718047788,176.3773047071457,15.088417140000002
STARLINK-31400,85,19,43.01759900963167,141.1491689024545,190.53458284747356,15.08855507
STARLINK-5948,85,20,43.017904797102766,141.47519829913543,197.26796555555018,15.08838184
STARLINK-35981,85,21,43.011447753522916,141.13883310324618,204.67572581989876,15.088440890000001
STARLINK-31534,85,22,43.011299214820575,141.1162796908192,211.6420470448518,15.08848187
STARLINK-35977,85,23,42.994762688063844,141.09306432185855,225.8928064150958,15.08833189
STARLINK-33712,85,24,42.9901058065287,141.47371381003558,239.61180994346358,15.088530810000002
STARLINK-31483,86,1,43.02153675523049,141.57946232758982,6.434072931847983,15.0883289
STARLINK-35993,86,2,43.017447057964624,141.58438490665438,13.522301377778458,15.08835575
STARLINK-35820,86,3,43.017770867890114,141.57901358592403,20.605647968830123,15.08833304
STARLINK-31414,86,4,43.01377671926308,141.54791023004023,27.69067117603142,15.226933389999997
STARLINK-36058,86,5,43.00750185448177,141.5505117534479,34.75825381335659,15.088359020000002
STARLINK-36037,86,6,43.00158858517349,141.5354420977048,41.8469655472492,15.088418
STARLINK-31366,86,7,43.00055447989628,141.5053738703602,48.91882945243482,15.08839318
STARLINK-32104,86,8,43.02154628683627,141.8957486325014,182.78019093277578,15.08832111
STARLINK-30906,86,9,42.998499760050244,141.56167655854452,230.01488903276336,15.08839976
STARLINK-31312,86,10,42.99557003317932,141.641140967265,232.3980085960957,15.08838048
STARLINK-31415,86,11,42.9855304931157,141.88443189610808,246.29505432361913,15.088362140000001
STARLINK-35429,86,12,42.988840486779495,141.88026684456668,253.362336108884,15.08838753
STARLINK-36034,86,13,42.976462476774735,141.84820854942217,260.44334927601454,15.088382040000003
STARLINK-31466,86,14,42.98063676327414,141.81497401167516,267.4756322694901,15.088377450000001
STARLINK-36040,86,15,42.97651319292179,141.80293875799876,274.57037184432033,15.08849582
STARLINK-35811,86,16,42.98008202935852,141.78650090219926,281.6164482336016,15.08833816
STARLINK-35980,86,17,42.98673269505338,141.7353647086854,295.7801674943889,15.08858991
STARLINK-36050,86,18,42.99053264713596,141.71926814899416,302.83503332752736,15.088383959999998
STARLINK-31387,86,19,42.99793607965843,141.67965000716134,309.8962820937406,15.08842099
STARLINK-35391,86,20,42.99736787191738,141.66947297214625,316.97516735333494,15.08841364
STARLINK-36066,86,21,43.00540474368241,141.66673055982366,324.0351249121307,15.088458949999998
STARLINK-31543,86,22,43.01167278442755,141.63318164964133,331.10463330578926,15.088419000000002
STARLINK-36032,86,23,43.015181235054456,141.63791681657307,338.14701135856217,15.08813662
STARLINK-36039,86,24,43.01733839666434,141.62574979836216,345.2459829157383,15.08842028
STARLINK-31568,86,25,43.01982357569923,141.5979066599449,352.31777043886495,15.08859755
STARLINK-36052,86,26,43.01963680561015,141.5995327862748,359.4083652709171,15.08840335
STARLINK-32089,88,1,43.02358728280736,145.0049613892185,2.094270051773851,15.08842435
STARLINK-32099,88,2,43.018275595635856,144.98234166674132,16.042314161431893,15.0884069
STARLINK-32105,88,3,43.00749769240982,144.94667294603866,37.466330245699076,15.088426790000002
STARLINK-32086,88,4,42.992856207659976,144.89087129144852,58.71755809738866,15.090261610000002
STARLINK-5905,88,5,42.98776556200369,145.1790197528178,72.53461263733055,15.08824604
STARLINK-5789,88,6,42.979022129097046,145.15111006790065,79.76888613224611,15.088375590000002
STARLINK-31348,88,7,42.98110845381093,145.49102616332348,93.50829673415801,15.088353359999997
STARLINK-31308,88,8,42.98320393319543,145.46995383664978,100.56079588150808,15.088346620000001
STARLINK-5941,88,9,42.98705049612993,145.03115003225392,115.07435154039848,15.08835754
